problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,PLA_time,PLA_explored,PLA_frontier,,
1.5.2.8.7.3.4.6.0.,-,10,0.038896084,26,20,0.075831652,10,10,0.086781025,10,10,15,0.080738068,26,20,0
1.6.2.7.8.3.0.4.5.,-,20,4.465093613,1854,1115,5.4538939,670,448,6.377280951,670,448,1091,3.801802635,1854,1115,0
1.3.0.5.2.7.4.8.6.,-,10,0.046876669,30,23,0.105714798,16,13,0.119680882,16,13,24,0.061834574,30,23,0
3.8.2.1.5.7.4.6.0.,-,18,0.736032009,461,285,1.083104372,120,93,1.335429192,120,93,209,0.804853201,461,285,0
5.6.3.2.0.8.1.4.7.,-,14,0.145643711,95,67,0.13061738,16,14,0.154622316,16,14,28,0.162530899,95,67,0
0.5.6.4.3.2.1.7.8.,-,18,1.208802462,701,439,1.987649679,234,171,2.169200897,234,171,384,1.213754654,701,439,0
1.2.3.4.8.5.7.6.0.,-,4,0.00897789,4,5,0.01994729,4,5,0.014960289,4,5,4,0.012965202,4,5,0
5.1.2.8.4.7.6.3.0.,-,20,1.289552212,784,482,2.74666667,204,136,2.313812494,204,136,334,1.701451302,784,482,0
1.6.5.3.0.2.4.7.8.,-,14,0.275265932,154,103,0.487696171,61,42,0.50967145,61,42,97,0.390919209,154,103,0
1.5.0.3.8.6.2.4.7.,-,20,2.103640079,1014,647,2.868332148,298,203,3.194459915,298,203,485,2.068998098,1014,647,0
4.1.5.2.0.6.7.8.3.,-,18,1.831104517,978,608,2.900248289,367,249,3.360013723,367,249,592,1.878976345,978,608,0
5.4.0.3.6.8.1.2.7.,-,24,9.760624647,3879,2170,10.30523443,1008,683,11.43243313,1008,683,1657,9.302129507,1845,1145,881
8.7.5.3.0.6.2.4.1.,-,24,7.784228325,3290,1804,8.581016779,775,540,9.649200916,775,540,1299,8.405041456,1837,1062,701
0.3.1.2.5.7.4.8.6.,-,22,6.678178787,2968,1685,9.475630283,1028,646,10.63596535,1028,646,1640,7.788138151,2306,1400,444
7.3.0.6.8.1.2.4.5.,-,26,47.37986708,10258,5196,32.34753656,3054,2010,31.9950223,3054,2010,5034,23.35109186,3209,2073,3306
1.3.5.4.6.8.7.2.0.,-,10,0.046873331,38,29,0.083778381,16,16,0.101693153,16,16,28,0.061835527,38,29,0
5.2.0.7.1.3.4.8.6.,-,14,0.282244921,193,132,0.441853762,66,49,0.496635199,66,49,108,0.270279884,193,132,0
0.8.3.1.2.4.7.6.5.,-,16,0.314175844,244,161,0.580431461,94,62,0.707683802,94,62,151,0.343081951,244,161,0
8.2.3.1.0.5.7.4.6.,-,16,0.503619671,415,270,1.028283834,157,113,1.205744982,157,113,261,0.607406855,415,270,0
