problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['E', 'G', 'C', 'A', 'B'], ['F', 'D']]","[['B', 'F', 'A', 'E', 'G', 'C', 'D']]",10,2.6649081707000732,688,1827,6.011892557144165,215,807,3.4398033618927,207,781,549,2.5481889247894287,303,957,324
"[['C', 'D'], ['F', 'A', 'E', 'G', 'B']]","[['F', 'B', 'G', 'A', 'C', 'D', 'E']]",11,35.368943214416504,2636,5392,34.138235092163086,956,3225,21.926373958587646,947,3206,2201,20.90610671043396,960,3213,1963
"[['G', 'D', 'A', 'E'], ['B', 'F', 'C']]","[['A', 'G', 'D', 'B', 'E', 'C', 'F']]",11,35.12665891647339,2608,5387,29.418347358703613,831,2880,18.81777024269104,799,2805,1992,17.097285985946655,810,2813,1749
"[['A', 'F', 'D', 'B'], ['C', 'E', 'G']]","[['C', 'D', 'G', 'E', 'A', 'F', 'B']]",10,5.455414295196533,894,2467,7.107995510101318,216,977,3.500640392303467,212,962,548,3.965400457382202,399,1426,431
"[['B', 'D', 'G', 'F'], ['A', 'C', 'E']]","[['G', 'D', 'B', 'E', 'C', 'A', 'F']]",8,0.010970592498779297,22,89,0.33809542655944824,11,55,0.06682205200195312,10,46,13,0.03490614891052246,19,79,4
"[['D', 'C', 'A'], ['G', 'F', 'E', 'B']]","[['F', 'E', 'B', 'G', 'A', 'C', 'D']]",9,0.12067794799804688,117,301,0.8297786712646484,30,111,0.5375628471374512,30,111,72,0.1795201301574707,96,240,15
"[['G', 'A', 'F', 'E', 'B'], ['C', 'D']]","[['C', 'D', 'G', 'E', 'A', 'B', 'F']]",9,0.5485334396362305,270,757,2.725712299346924,108,446,1.175856351852417,108,446,229,0.7918827533721924,150,552,108
"[['F', 'D', 'B', 'G'], ['C', 'E', 'A']]","[['G', 'F', 'B', 'A', 'D', 'C', 'E']]",10,3.0119476318359375,652,1782,5.729188919067383,166,757,2.908224105834961,165,750,465,2.627974033355713,283,934,309
"[['G', 'E', 'F', 'A', 'D', 'C', 'B'], []]","[['A', 'C', 'G', 'E', 'B', 'D', 'F']]",12,12.125580310821533,1403,3627,13.39718222618103,387,1657,7.524879217147827,372,1595,1019,7.635584354400635,372,1595,993
"[['E', 'F', 'B'], ['D', 'C', 'G', 'A']]","[['D', 'G', 'A', 'E', 'C', 'F', 'B']]",11,26.073312997817993,2116,5013,32.25974655151367,875,3038,19.36721897125244,845,2975,1712,20.012495756149292,878,2968,1490
