problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['p3', 0, 't2'], ['t1', 'p2', 0], ['p1', 0, 0]]","[[0, 0], [2, 0], [1, 2]]",14,1.113635063,616,1153,3.650367737,227,401,2.980271816,203,368,401,1.211758375,375,662,141
"[['t1', 0, 0], [0, 0, 'p3'], ['t2', 'p1', 'p2']]","[[0, 1], [2, 1], [0, 2]]",14,1.261592388,807,1043,1.976745844,129,255,1.993276119,129,255,351,1.862020731,268,398,241
"[[0, 0, 0], ['t1', 'p2', 0], ['t2', 'p1', 'p3']]","[[0, 1], [2, 1], [1, 1]]",13,3.520298004,1249,1845,7.492997646,421,901,5.36017561,412,874,998,4.346378803,627,1068,627
"[[0, 'p3', 't2'], [0, 'p1', 't1'], [0, 0, 'p2']]","[[2, 0], [2, 2], [1, 1]]",8,0.147608042,172,355,0.446771622,25,102,0.401923895,25,102,95,0.367015839,42,118,84
"[[0, 't2', 'p1'], [0, 0, 'p2'], ['p3', 0, 't1']]","[[1, 1], [0, 0], [1, 1]]",17,40.52454114,5383,5466,38.41256046,2292,2896,31.42925024,2187,2774,4096,28.38584423,2959,3284,2288
"[['t1', 'p2', 0], [0, 't2', 'p3'], ['p1', 0, 0]]","[[2, 1], [2, 0], [1, 2]]",9,0.233376265,243,363,0.92755127,70,158,0.757977962,70,158,189,0.59440589,101,187,143
"[['p3', 0, 0], [0, 'p1', 0], ['t1', 'p2', 't2']]","[[0, 0], [0, 1], [2, 0]]",14,1.578781843,687,1169,4.12297821,219,448,3.046875238,212,427,475,1.639648676,403,602,161
"[[0, 'p3', 0], ['p1', 0, 'p2'], ['t1', 0, 't2']]","[[0, 0], [0, 2], [1, 0]]",12,0.988357067,552,887,1.749555111,107,251,1.851017952,107,251,304,1.657343626,188,329,236
"[['t2', 0, 0], [0, 0, 'p3'], ['p2', 'p1', 't1']]","[[1, 0], [1, 0], [2, 0]]",15,5.089553118,1512,2108,10.23332381,675,1108,7.598854303,649,1058,1241,4.703424454,877,1202,666
"[['t1', 0, 0], ['p1', 0, 't2'], ['p2', 0, 'p3']]","[[2, 1], [0, 1], [0, 0]]",18,61.44776964,6051,7033,72.23370051,3699,4491,46.17505598,3079,3953,4956,39.32482719,4110,4640,1781
"[['p3', 0, 'p2'], ['t1', 't2', 0], [0, 0, 'p1']]","[[1, 0], [0, 0], [0, 1]]",16,5.620007753,1881,2221,10.14744329,705,1031,8.451404095,679,976,1365,5.712724924,1169,1409,636
"[['t1', 0, 'p3'], ['p2', 0, 0], [0, 't2', 'p1']]","[[1, 2], [1, 2], [2, 2]]",13,1.66950202,875,1242,4.26858902,277,510,3.626303434,276,507,638,2.358731031,476,675,367
"[[0, 't1', 't2'], ['p2', 'p3', 0], ['p1', 0, 0]]","[[1, 0], [2, 0], [1, 1]]",8,0.063830614,104,159,0.309140682,26,65,0.268314362,26,65,73,0.252325058,44,76,63
"[['p3', 'p2', 0], [0, 'p1', 't2'], [0, 't1', 0]]","[[2, 0], [1, 2], [1, 2]]",,120,,,90.00080395,4601,5250,68.09873414,4186,4827,7003,64.54272437,5582,5620,3194
"[[0, 0, 't2'], [0, 0, 'p2'], ['t1', 'p3', 'p1']]","[[1, 0], [1, 0], [0, 0]]",,120,,,120,,,89.12625146,5032,6137,7855,86.59522247,6027,7042,4209
"[[0, 't1', 0], [0, 'p1', 'p3'], ['t2', 'p2', 0]]","[[2, 2], [2, 0], [2, 0]]",15,11.06708121,2433,3196,18.78623009,1148,1821,12.63214636,1006,1570,1871,8.903308868,1528,2053,754
"[[0, 'p2', 't1'], [0, 'p1', 0], ['p3', 't2', 0]]","[[2, 2], [2, 2], [1, 0]]",15,15.66910648,3025,3698,20.66233301,1208,2029,14.77419853,1093,1770,2111,11.8887372,1710,2215,1063
"[[0, 't1', 'p3'], ['t2', 'p1', 0], [0, 0, 'p2']]","[[0, 1], [1, 0], [0, 1]]",16,16.61458921,3143,3792,17.47000074,1030,1535,14.75662851,1014,1489,2142,11.99393225,1816,2274,1127
"[[0, 0, 't1'], [0, 't2', 'p2'], [0, 'p1', 'p3']]","[[0, 1], [2, 0], [1, 2]]",15,10.32239628,2116,2848,10.26624823,566,1005,7.696452618,544,953,1234,6.788848639,1005,1353,682
"[[0, 0, 't2'], ['p3', 0, 'p1'], ['t1', 'p2', 0]]","[[1, 1], [1, 0], [0, 1]]",13,1.495994806,707,1274,2.354705811,130,353,1.810158253,130,353,369,1.687488556,269,498,251
"[['t1', 0, 't2'], [0, 0, 'p2'], ['p1', 0, 'p3']]","[[1, 0], [2, 2], [1, 0]]",13,1.557824612,671,998,2.479381084,188,337,2.017605543,181,318,407,1.355378389,304,414,246
"[['t1', 'p3', 0], ['p2', 't2', 0], [0, 0, 'p1']]","[[0, 0], [1, 2], [0, 2]]",16,9.16946888,2190,2879,18.45990634,1046,1496,10.50641298,906,1257,1547,6.352014303,1288,1647,640
"[[0, 'p1', 0], ['p2', 'p3', 't2'], ['t1', 0, 0]]","[[2, 1], [1, 0], [1, 2]]",10,0.390954256,370,560,1.647601366,115,248,1.643600941,115,248,291,1.28054285,139,291,253
"[['p1', 0, 0], ['t1', 't2', 0], ['p2', 0, 'p3']]","[[0, 2], [0, 0], [2, 2]]",9,0.128624201,171,267,0.508640051,35,91,0.46080184,35,91,104,0.365022898,69,114,77
"[['t2', 0, 't1'], ['p1', 0, 'p2'], [0, 'p3', 0]]","[[2, 1], [0, 0], [1, 1]]",14,2.944128275,1124,1916,6.751948118,374,776,5.371604204,363,743,840,3.821813107,696,1016,367
"[[0, 'p3', 'p2'], [0, 'p1', 't2'], ['t1', 0, 0]]","[[1, 0], [0, 0], [2, 1]]",14,4.11400032,1467,2060,5.911162138,339,593,5.388626575,334,580,807,3.804829121,700,985,430
