problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"{'elevator_at_6', 'p2_at_2', 'p1_at_8', 'p4_at_2', 'p3_at_7', 'elevator_hold_0', 'p5_at_7'}","{'p2_at_1', 'p5_at_0', 'p3_at_6', 'p4_at_4', 'p1_at_6'}",24,4.176834583,2046,2897,15.97329235,897,868,10.93476367,792,804,1210,9.281265736,802,806,1052
"{'p1_at_8', 'elevator_at_9', 'p2_at_0', 'elevator_hold_0', 'p4_at_5', 'p3_at_6', 'p5_at_3'}","{'p3_at_0', 'p4_at_3', 'p2_at_2', 'p1_at_1', 'p5_at_6'}",25,10.38922167,3579,3979,35.22786236,1810,1851,18.22373629,1419,1640,2080,17.0214901,1440,1655,1918
"{'elevator_at_1', 'p1_at_4', 'p5_at_8', 'p4_at_6', 'elevator_hold_0', 'p2_at_8', 'p3_at_5'}","{'p3_at_2', 'p2_at_6', 'p1_at_7', 'p4_at_4', 'p5_at_4'}",23,1.138954878,898,1491,10.96671653,469,590,7.041136265,429,559,744,7.209722757,429,559,699
"{'p3_at_1', 'p1_at_1', 'elevator_at_7', 'p5_at_1', 'p2_at_3', 'elevator_hold_0', 'p4_at_4'}","{'p3_at_1', 'p2_at_2', 'p1_at_1', 'p4_at_0', 'p5_at_2'}",15,0.050864458,77,124,1.301521063,80,145,0.348100424,59,110,84,0.325099707,60,111,73
"{'elevator_at_7', 'p2_at_1', 'p5_at_9', 'elevator_hold_0', 'p4_at_9', 'p1_at_5', 'p3_at_5'}","{'p3_at_1', 'p2_at_9', 'p5_at_5', 'p4_at_1', 'p1_at_4'}",,120,,,120,,,86.7608397,4436,3848,6651,81.9413445,4436,3848,6540
"{'elevator_at_6', 'p1_at_8', 'p5_at_6', 'p2_at_1', 'elevator_hold_0', 'p4_at_9', 'p3_at_5'}","{'p3_at_0', 'p1_at_1', 'p4_at_2', 'p2_at_0', 'p5_at_4'}",24,0.550526619,750,922,9.284216642,459,529,4.937797785,340,419,502,2.950623274,439,497,307
"{'p4_at_3', 'p1_at_4', 'elevator_at_9', 'elevator_hold_0', 'p2_at_8', 'p3_at_5', 'p5_at_3'}","{'p2_at_9', 'p4_at_2', 'p5_at_6', 'p3_at_7', 'p1_at_7'}",24,27.91735148,5444,7230,20.14007783,1038,1404,13.97344375,918,1311,1759,14.3981657,918,1311,1681
"{'elevator_at_2', 'p3_at_4', 'p5_at_8', 'p2_at_6', 'p1_at_3', 'elevator_hold_0', 'p4_at_7'}","{'p3_at_0', 'p2_at_9', 'p1_at_9', 'p5_at_9', 'p4_at_4'}",,120,,,28.80711412,1269,1459,27.49449778,1264,1458,2659,25.38879824,1302,1490,2400
"{'p3_at_1', 'p2_at_0', 'elevator_hold_0', 'p1_at_5', 'p4_at_7', 'elevator_at_8', 'p5_at_2'}","{'p3_at_2', 'p2_at_2', 'p1_at_8', 'p4_at_9', 'p5_at_4'}",27,60.20069718,10071,9760,20.83728766,920,946,17.39748502,885,939,1702,16.5214045,884,937,1554
"{'p3_at_1', 'elevator_at_9', 'p2_at_7', 'p1_at_2', 'p4_at_6', 'elevator_hold_0', 'p5_at_3'}","{'p5_at_8', 'p2_at_7', 'p1_at_0', 'p3_at_6', 'p4_at_5'}",25,27.82559681,6350,6514,13.74388504,665,739,13.06806874,659,737,1294,12.05874968,661,739,1214
"{'p4_at_0', 'p3_at_4', 'p1_at_3', 'p5_at_0', 'p2_at_3', 'elevator_at_0', 'elevator_hold_0'}","{'p5_at_5', 'p1_at_8', 'p4_at_8', 'p2_at_3', 'p3_at_6'}",18,1.486022234,977,1470,2.930211782,177,295,2.181168079,161,280,345,2.409557819,328,496,354
"{'p4_at_0', 'p3_at_7', 'p2_at_3', 'elevator_at_0', 'p1_at_7', 'elevator_hold_0', 'p5_at_7'}","{'p4_at_3', 'p3_at_9', 'p2_at_3', 'p1_at_5', 'p5_at_4'}",22,1.464092255,1241,1666,5.400553703,345,414,4.057156324,330,404,610,4.12497735,355,438,573
"{'elevator_at_7', 'p2_at_6', 'p1_at_9', 'p5_at_1', 'p3_at_9', 'elevator_hold_0', 'p4_at_5'}","{'p1_at_8', 'p3_at_4', 'p5_at_8', 'p2_at_8', 'p4_at_4'}",27,57.51507521,8790,9150,120,,,58.71401739,3834,3584,5398,58.75048566,3833,3583,5264
"{'p4_at_0', 'p3_at_7', 'elevator_at_0', 'elevator_hold_0', 'p2_at_8', 'p1_at_0', 'p5_at_4'}","{'p2_at_5', 'p3_at_3', 'p4_at_2', 'p1_at_5', 'p5_at_4'}",21,0.48470211,653,842,5.799762487,348,325,3.625757217,292,292,417,3.287211895,302,301,340
"{'elevator_at_5', 'p2_at_5', 'p4_at_1', 'p5_at_8', 'p1_at_9', 'p3_at_7', 'elevator_hold_0'}","{'p3_at_2', 'p2_at_0', 'p4_at_6', 'p1_at_0', 'p5_at_3'}",,,,,,,,,,,,,,,
